year_th,name_n,province_n_th,product_amt,product_ratio,harvested_area,product_per_harvested_area,
2561,ยางพารา,อุบลราชธานี,91915,0.0191,427510,215,
2561,ลิ้นจี่,หนองคาย,4,1.0E-4,25,160,
2561,ลำไย,อุดรธานี,470,4.0E-4,1253,375.1,
2561,ยางพารา,อุดรธานี,107941,0.0224,492881,219,
2561,ยางพารา,สุโขทัย,3968,8.0E-4,24799,160.01,
2561,ยางพารา,เลย,150136,0.0312,636168,236,
2561,ลำไย,หนองคาย,454,4.0E-4,624,727.56,
2561,ลำไย,สุโขทัย,597,6.0E-4,1251,477.22,
2561,ยางพารา,หนองคาย,58975,0.0123,255301,231,
2561,ยางพารา,สุพรรณบุรี,566,1.0E-4,4391,128.9,
2561,ลำไย,สุพรรณบุรี,436,4.0E-4,544,801.47,
2561,ลิ้นจี่,สมุทรสงคราม,3022,0.062,5257,574.85,
2561,ยางพารา,สระบุรี,259,1.0E-4,1945,133.16,
2561,ลำไย,อุบลราชธานี,512,5.0E-4,1000,512,
2561,ยางพารา,พิษณุโลก,40035,0.0083,242635,165,
2561,ลำไย,พิษณุโลก,1370,0.0013,2794,490.34,
2561,ยางพารา,นครราชสีมา,9078,0.0019,44943,201.99,
2561,ลิ้นจี่,นครราชสีมา,103,0.0021,307,335.5,
2561,กระเทียม,นครราชสีมา,32,5.0E-4,43,744.19,
2561,ลำไย,นครราชสีมา,345,3.0E-4,761,453.35,
2561,กระเทียม,ตาก,2526,0.0365,3370,749.55,
2561,ลำไย,ตาก,13474,0.0128,18149,742.41,
2561,ลำไย,นครปฐม,1597,0.0015,1379,1158.09,
2561,ยางพารา,ตาก,1645,3.0E-4,10089,163.05,
2561,ลำไย,เลย,11576,0.011,18645,620.86,
2561,ยางพารา,ตรัง,328897,0.0683,1260140,261,
2561,ยางพารา,นราธิวาส,208632,0.0433,851558,245,
2561,ยางพารา,กำแพงเพชร,3492,7.0E-4,21421,163.02,
2561,ยางพารา,ขอนแก่น,13751,0.0029,74332,184.99,
2561,ลำไย,กำแพงเพชร,3791,0.0036,6117,619.75,
2561,ยางพารา,ราชบุรี,3859,8.0E-4,22565,171.02,
2561,ลิ้นจี่,ราชบุรี,91,0.0019,281,323.84,
2561,ลิ้นจี่,แพร่,109,0.0022,391,278.77,
2561,ยางพารา,แพร่,2931,6.0E-4,19284,151.99,
2561,กระเทียม,แพร่,192,0.0028,367,523.16,
2561,ลำไย,แพร่,1744,0.0017,4606,378.64,
2561,ลิ้นจี่,เลย,118,0.0024,489,241.31,
2560,ลำไย,อุดรธานี,268,3.0E-4,1317,203.49,
2560,ยางพารา,อุดรธานี,93123,0.0207,435921,213.62,
2560,ยางพารา,สระบุรี,173,0,1389,124.55,
2560,ยางพารา,เลย,131219,0.0291,568048,231,
2560,ลำไย,กำแพงเพชร,2848,0.0028,6016,473.4,
2560,ลำไย,อุบลราชธานี,412,4.0E-4,990,416.16,
2560,ลำไย,เลย,13768,0.0133,19900,691.86,
2560,ยางพารา,อุบลราชธานี,79834,0.0177,392269,203.52,
2560,ลิ้นจี่,เลย,112,0.0024,487,229.98,
2560,ยางพารา,ราชบุรี,2634,6.0E-4,14283,184.42,
2560,ยางพารา,สุโขทัย,3372,7.0E-4,21328,158.1,
2560,ลำไย,สุโขทัย,572,6.0E-4,1306,437.98,
2560,ยางพารา,ขอนแก่น,12246,0.0027,67804,180.61,
2560,ยางพารา,กำแพงเพชร,3290,7.0E-4,20629,159.48,
2560,กระเทียม,แพร่,192,0.0028,367,523.16,
2560,ลำไย,นครปฐม,1414,0.0014,1172,1206.48,
2560,ลำไย,หนองคาย,432,4.0E-4,819,527.47,
2560,ลิ้นจี่,แพร่,95,0.0021,394,241.12,
2560,ยางพารา,แพร่,2057,5.0E-4,13693,150.22,
2560,ลำไย,แพร่,1420,0.0014,4582,309.91,
2560,ลำไย,ตาก,11459,0.0111,17926,639.24,
2560,กระเทียม,ตาก,2526,0.0365,3370,749.55,
2560,ยางพารา,ตาก,1420,3.0E-4,8797,161.42,
2560,ลำไย,พิษณุโลก,1297,0.0013,2801,463.05,
2560,ยางพารา,นครราชสีมา,7717,0.0017,38211,201.96,
2560,ยางพารา,พิษณุโลก,32314,0.0072,134773,239.77,
2560,ยางพารา,นราธิวาส,193383,0.0429,834775,231.66,
2560,ยางพารา,หนองคาย,52937,0.0118,238182,222.25,
2560,ลิ้นจี่,หนองคาย,4,1.0E-4,25,160,
2560,ลำไย,นครราชสีมา,356,3.0E-4,786,452.93,
2560,ลิ้นจี่,นครราชสีมา,95,0.0021,195,487.18,
2560,กระเทียม,นครราชสีมา,32,5.0E-4,43,744.19,
2560,ยางพารา,ตรัง,304770,0.0677,1240274,245.73,
2560,ลำไย,สุพรรณบุรี,414,4.0E-4,548,755.47,
2560,ยางพารา,สุพรรณบุรี,318,1.0E-4,2272,139.96,
2559,ยางพารา,เลย,112677,0.0259,505096,223.08,
2559,ลิ้นจี่,แพร่,88,0.0027,431,204.18,
2559,ลำไย,เลย,6916,0.009,19998,345.83,
2559,ยางพารา,แพร่,1458,3.0E-4,10631,137.15,
2559,กระเทียม,แพร่,197,0.0029,406,485.22,
2559,ลำไย,แพร่,963,0.0012,4566,210.91,
2559,ลิ้นจี่,เลย,575,0.0175,2064,278.59,
2559,ยางพารา,พิษณุโลก,16601,0.0038,120580,137.68,
2559,ลำไย,พิษณุโลก,933,0.0012,3300,282.73,
2559,ยางพารา,ราชบุรี,1228,3.0E-4,7161,171.48,
2559,ยางพารา,สระบุรี,139,0,885,157.06,
